nohup: 忽略输入
Dataset
sheet has 5097 rows
====================test  ======================
[1147, 2294, 3441, 4588, 5735, 6882, 8029, 9176, 10323, 11470, 12617, 13764, 14911, 16058, 17205]
./jobs/iter_1147.pth 3500 pa = 0.943, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.471, FWIoU=0.889, discore=0.633, BWdiscore=0.970
./jobs/iter_1147.pth 3600 pa = 0.989, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.494, FWIoU=0.977, discore=0.646, BWdiscore=0.994
./jobs/iter_1147.pth 3700 pa = 0.919, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.459, FWIoU=0.844, discore=0.535, BWdiscore=0.958
./jobs/iter_1147.pth 3800 pa = 0.960, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.480, FWIoU=0.922, discore=0.537, BWdiscore=0.980
./jobs/iter_1147.pth 3900 pa = 0.990, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.980, discore=0.496, BWdiscore=0.995
./jobs/iter_1147.pth 4000 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.984, discore=0.507, BWdiscore=0.996
./jobs/iter_1147.pth 4100 pa = 0.980, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.490, FWIoU=0.960, discore=0.521, BWdiscore=0.990
./jobs/iter_1147.pth 4200 pa = 0.991, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.982, discore=0.506, BWdiscore=0.996
./jobs/iter_1147.pth 4300 pa = 0.994, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.988, discore=0.540, BWdiscore=0.997
./jobs/iter_1147.pth 4400 pa = 0.996, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.498, FWIoU=0.992, discore=0.580, BWdiscore=0.998
./jobs/iter_1147.pth 4500 pa = 0.987, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.494, FWIoU=0.974, discore=0.554, BWdiscore=0.994
./jobs/iter_1147.pth 4600 pa = 0.991, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.981, discore=0.564, BWdiscore=0.995
./jobs/iter_1147.pth 4700 pa = 0.991, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.982, discore=0.593, BWdiscore=0.996
./jobs/iter_1147.pth 4800 pa = 0.956, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.478, FWIoU=0.914, discore=0.621, BWdiscore=0.978
./jobs/iter_1147.pth 4900 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.984, discore=0.647, BWdiscore=0.996
./jobs/iter_1147.pth 5000 pa = 0.995, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.990, discore=0.592, BWdiscore=0.997
./jobs/iter_2294.pth
./jobs/iter_2294.pth 0 pa = 0.924, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.462, FWIoU=0.853, discore=0.486, BWdiscore=0.960
./jobs/iter_2294.pth 100 pa = 0.956, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.478, FWIoU=0.914, discore=0.455, BWdiscore=0.978
./jobs/iter_2294.pth 200 pa = 0.991, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.981, discore=0.498, BWdiscore=0.995
./jobs/iter_2294.pth 300 pa = 0.954, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.477, FWIoU=0.910, discore=0.668, BWdiscore=0.976
./jobs/iter_2294.pth 400 pa = 0.782, cpa0=0.143, cpa1=0.791, mpa=0.467, mIoU=0.395, FWIoU=0.771, discore=0.496, BWdiscore=0.877
./jobs/iter_2294.pth 500 pa = 0.962, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.481, FWIoU=0.926, discore=0.492, BWdiscore=0.981
./jobs/iter_2294.pth 600 pa = 0.993, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.986, discore=0.495, BWdiscore=0.996
./jobs/iter_2294.pth 700 pa = 0.952, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.476, FWIoU=0.906, discore=0.609, BWdiscore=0.975
./jobs/iter_2294.pth 800 pa = 0.991, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.982, discore=0.503, BWdiscore=0.995
./jobs/iter_2294.pth 900 pa = 0.960, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.480, FWIoU=0.922, discore=0.620, BWdiscore=0.980
./jobs/iter_2294.pth 1000 pa = 0.980, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.490, FWIoU=0.960, discore=0.639, BWdiscore=0.990
./jobs/iter_2294.pth 1100 pa = 0.934, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.467, FWIoU=0.873, discore=0.725, BWdiscore=0.966
./jobs/iter_2294.pth 1200 pa = 0.965, cpa0=0.008, cpa1=0.978, mpa=0.493, mIoU=0.484, FWIoU=0.953, discore=0.667, BWdiscore=0.982
./jobs/iter_2294.pth 1300 pa = 0.928, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.464, FWIoU=0.862, discore=0.554, BWdiscore=0.963
./jobs/iter_2294.pth 1400 pa = 0.986, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.493, FWIoU=0.971, discore=0.636, BWdiscore=0.993
./jobs/iter_2294.pth 1500 pa = 0.944, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.472, FWIoU=0.891, discore=0.466, BWdiscore=0.971
./jobs/iter_2294.pth 1600 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.983, discore=0.470, BWdiscore=0.996
./jobs/iter_2294.pth 1700 pa = 0.995, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.498, FWIoU=0.990, discore=0.519, BWdiscore=0.997
./jobs/iter_2294.pth 1800 pa = 0.990, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.981, discore=0.414, BWdiscore=0.995
./jobs/iter_2294.pth 1900 pa = 0.994, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.989, discore=0.591, BWdiscore=0.997
